objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
al_001,al_001.jpg,,,Marquee Moon,Television,1977,"Marquee Moon is the debut studio album by American rock band Television, released on February 8, 1977, by Elektra Records.",Art Punk; Punk Rock; New Wave; Art Rock; Proto-Punk,New York City,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_002,al_002.jpg,,,Blank Generation,Richard Hell and the Voidoids,1977,"Blank Generation is the debut studio album by American punk rock band Richard Hell and the Voidoids. It was produced by Richard Gottehrer and released on August 26, 1977 on Sire Records.",Punk Rock; Art Punk,New York City,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_003,al_003.jpg,,,L.A.M.F.,The Heartbreakers,1977,"L.A.M.F. (abbreviation of Like a Motherfucker) is the only studio album by the American punk rock band the Heartbreakers, which included Johnny Thunders, Jerry Nolan, Walter Lure and Billy Rath. It was released on October 3, 1977, by the British independent record label Track Records, and the music of the album is a mixture of punk and rock and roll.",Punk Rock; Rock and Roll,New York City,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_004,al_004.jpg,,,New York Dolls,New York Dolls,1973,"New York Dolls is the debut studio album by the American rock band New York Dolls, released on July 27, 1973, by Mercury Records. An influential precursor to the 1970s punk rock movement, the eponymous album has been acclaimed as one of the best debut records in rock music and one of the greatest rock albums ever.",Hard Rock; Proto-Punk; Glam Rock; Glam Punk,New York City,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_005,al_005.jpg,,,Songs the Lord Taught Us,The Cramps,1980,"Songs the Lord Taught Us is the debut album by the American rock band the Cramps. It was released in 1980 on I.R.S. Records in America and Illegal Records in the UK. In 2020, Rolling Stone included Songs the Lord Taught Us in their ""80 Greatest albums of 1980"" list, praising the band for its ""psychobilly sound that went way beyond the kitschiest moments of the Ramones or Blondie and into a whole new realm of garage-trash novelty""	",Psychobilly; Punk Rock; Gothabilly; Surf,New York City,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_006,al_006.jpg,,,The Electric Chairs,Wayne County & the Electric Chairs,1978,None of County's albums were ever released in her native United States except for three songs on the very early punk compilation Max's Kansas City.,Punk Rock; Glam Punk,London,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_007,al_007.jpg,,,Fire of Love,The Gun Club,1981,"Fire of Love is the debut album of the American rock band the Gun Club, released in 1981 on Ruby Records.",Post-Punk; Punk Rock; Psychobilly; Alternative Rock; Punk Blues; Cowpunk,Los Angeles,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_008,al_008.jpg,,,Doolittle,Pixies,1989,"Doolittle is the second studio album by the American alternative rock band Pixies, released on April 17, 1989, on 4AD. The album was an instant critical success and became the band's breakthrough album.",Alternative Rock; Noise Pop; Punk Rock; Surf Rock,Boston,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_009,al_009.jpg,,,Last Splash,The Breeders,1993,"Last Splash is the second studio album by American alternative rock band the Breeders, released on August 30, 1993.",Alternative Rock,Dayton,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
al_010,al_010.jpg,,,Throwing Muses,Throwing Muses,1986,"Throwing Muses is the 1986 debut album of the band Throwing Muses, released on British independent label 4AD.[1] This was the first album by an American band to be released on 4AD, which had concentrated primarily on British-based acts up to this point.",Alternative Rock; Post-Punk,Newport,,,,,Image;StillImage,image/jpeg,eng,In Copyright - Unknown Rightsholder,https://rightsstatements.org/vocab/InC-RUU/1.0/
